trump_per,elect_county
46.26%,"Upshur County, West Virginia"
66.67%,"Wayne County, West Virginia"
39.67%,"Webster County, West Virginia"
60.11%,"Wetzel County, West Virginia"
53.33%,"Wirt County, West Virginia"
55.31%,"Wood County, West Virginia"
61.25%,"Wyoming County, West Virginia"
47.51%,"Adams County, Wisconsin"
61.59%,"Ashland County, Wisconsin"
42.02%,"Barron County, Wisconsin"
52.32%,"Bayfield County, Wisconsin"
63.77%,"Brown County, Wisconsin"
57.68%,"Buffalo County, Wisconsin"
58.10%,"Burnett County, Wisconsin"
56.66%,"Calumet County, Wisconsin"
65.04%,"Chippewa County, Wisconsin"
60.31%,"Clark County, Wisconsin"
21.03%,"Columbia County, Wisconsin"
28.99%,"Crawford County, Wisconsin"
58.51%,"Dane County, Wisconsin"
66.53%,"Dodge County, Wisconsin"
56.04%,"Door County, Wisconsin"
54.20%,"Douglas County, Wisconsin"
57.07%,"Dunn County, Wisconsin"
59.48%,"Eau Claire County, Wisconsin"
53.39%,"Florence County, Wisconsin"
61.10%,"Fond du Lac County, Wisconsin"
45.41%,"Forest County, Wisconsin"
60.34%,"Grant County, Wisconsin"
49.77%,"Green County, Wisconsin"
50.50%,"Green Lake County, Wisconsin"
41.95%,"Iowa County, Wisconsin"
64.93%,"Iron County, Wisconsin"
55.80%,"Jackson County, Wisconsin"
46.89%,"Jefferson County, Wisconsin"
59.55%,"Juneau County, Wisconsin"
64.69%,"Kenosha County, Wisconsin"
55.53%,"Kewaunee County, Wisconsin"
69.97%,"La Crosse County, Wisconsin"
54.27%,"Lafayette County, Wisconsin"
49.28%,"Langlade County, Wisconsin"
60.72%,"Lincoln County, Wisconsin"
57.05%,"Manitowoc County, Wisconsin"
59.65%,"Marathon County, Wisconsin"
67.84%,"Marinette County, Wisconsin"
61.59%,"Marquette County, Wisconsin"
62.82%,"Menominee County, Wisconsin"
64.12%,"Milwaukee County, Wisconsin"
50.58%,"Monroe County, Wisconsin"
57.02%,"Oconto County, Wisconsin"
46.29%,"Oneida County, Wisconsin"
80.07%,"Outagamie County, Wisconsin"
87.97%,"Ozaukee County, Wisconsin"
71.11%,"Pepin County, Wisconsin"
84.25%,"Pierce County, Wisconsin"
88.76%,"Polk County, Wisconsin"
67.50%,"Portage County, Wisconsin"
77.40%,"Price County, Wisconsin"
76.49%,"Racine County, Wisconsin"
79.95%,"Richland County, Wisconsin"
62.20%,"Rock County, Wisconsin"
80.72%,"Rusk County, Wisconsin"
72.39%,"St. Croix County, Wisconsin"
86.04%,"Sauk County, Wisconsin"
75.95%,"Sawyer County, Wisconsin"
77.06%,"Shawano County, Wisconsin"
72.36%,"Sheboygan County, Wisconsin"
79.33%,"Taylor County, Wisconsin"
72.94%,"Trempealeau County, Wisconsin"
32.19%,"Vernon County, Wisconsin"
76.42%,"Vilas County, Wisconsin"
78.36%,"Walworth County, Wisconsin"
86.92%,"Washburn County, Wisconsin"
,"Washington County, Wisconsin"
,"Waukesha County, Wisconsin"
,"Waupaca County, Wisconsin"
,"Waushara County, Wisconsin"
,"Winnebago County, Wisconsin"
,"Wood County, Wisconsin"
,"Albany County, Wyoming"
,"Big Horn County, Wyoming"
,"Campbell County, Wyoming"
,"Carbon County, Wyoming"
,"Converse County, Wyoming"
,"Crook County, Wyoming"
,"Fremont County, Wyoming"
,"Goshen County, Wyoming"
,"Hot Springs County, Wyoming"
,"Johnson County, Wyoming"
,"Laramie County, Wyoming"
,"Lincoln County, Wyoming"
,"Natrona County, Wyoming"
,"Niobrara County, Wyoming"
,"Park County, Wyoming"
,"Platte County, Wyoming"
,"Sheridan County, Wyoming"
,"Sublette County, Wyoming"
,"Sweetwater County, Wyoming"
,"Teton County, Wyoming"
,"Uinta County, Wyoming"
,"Washakie County, Wyoming"
,"Weston County, Wyoming"
